100200,1
101217,1
101217,1
104490,1
104490,1
107081,1
108974,1
108974,1
111198,1
113544,1
117776,1
118594,1
118594,1
123157,1
127723,1
128828,1
128828,1
131821,1
134382,1
135707,1
143480,1
146109,1
149544,1
150224,1
156028,1
156028,1
157705,1
158415,1
167343,1
168898,1
109300,2
110334,2
110334,2
110334,2
110587,2
111198,2
113544,2
113544,2
117776,2
122212,2
126402,2
126402,2
127723,2
131821,2
134382,2
135707,2
142286,2
142286,2
143480,2
146109,2
149059,2
149059,2
149544,2
157705,2
158415,2
164298,2
167343,2
168898,2
168898,2
100200,3
101217,3
107081,3
108974,3
109300,3
110587,3
113810,3
113810,3
117776,3
118594,3
118594,3
123157,3
123157,3
126402,3
126402,3
128828,3
128828,3
134382,3
142286,3
146109,3
146109,3
149059,3
149059,3
149544,3
152432,3
152432,3
157705,3
158415,3
164298,3
164298,3
174270,3
100200,4
104490,4
107081,4
107081,4
107081,4
110334,4
113544,4
113810,4
122212,4
122212,4
122212,4
122212,4
123157,4
128576,4
135707,4
135707,4
142286,4
143480,4
143480,4
143480,4
143480,4
146109,4
146109,4
158415,4
161616,4
164678,4
164678,4
164678,4
167343,4
174270,4
100200,5
104490,5
108974,5
108974,5
113810,5
117776,5
122212,5
123157,5
126402,5
128576,5
128828,5
131821,5
131821,5
134382,5
135707,5
149059,5
150224,5
152432,5
152432,5
152432,5
156028,5
157705,5
158415,5
161616,5
161616,5
168898,5
168898,5
